job_name,dataset,shuffle_partitions,executor_memory,executor_cores,default_parallelism,memory_fraction,execution_time_sec,timestamp
join,txn_500k.csv,4,2g,2,8,0.6,3.655,2026-03-14 15:50:58
join,txn_500k.csv,4,2g,2,8,0.8,5.019,2026-03-14 15:51:16
join,txn_500k.csv,4,2g,2,32,0.6,4.862,2026-03-14 15:51:33
join,txn_500k.csv,4,2g,2,32,0.8,5.152,2026-03-14 15:51:51
join,txn_500k.csv,4,2g,4,8,0.6,4.869,2026-03-14 15:52:09
join,txn_500k.csv,4,2g,4,8,0.8,5.041,2026-03-14 15:52:27
join,txn_500k.csv,4,2g,4,32,0.6,5.348,2026-03-14 15:52:45
join,txn_500k.csv,4,2g,4,32,0.8,5.442,2026-03-14 15:53:04
join,txn_500k.csv,4,3g,2,8,0.6,4.801,2026-03-14 15:53:22
join,txn_500k.csv,4,3g,2,8,0.8,4.987,2026-03-14 15:53:39
join,txn_500k.csv,4,3g,2,32,0.6,4.962,2026-03-14 15:53:57
join,txn_500k.csv,4,3g,2,32,0.8,4.971,2026-03-14 15:54:15
join,txn_500k.csv,4,3g,4,8,0.6,5.085,2026-03-14 15:54:33
join,txn_500k.csv,4,3g,4,8,0.8,5.3,2026-03-14 15:54:51
join,txn_500k.csv,4,3g,4,32,0.6,5.066,2026-03-14 15:55:09
join,txn_500k.csv,4,3g,4,32,0.8,5.288,2026-03-14 15:55:27
join,txn_500k.csv,8,2g,2,8,0.6,4.925,2026-03-14 15:55:45
join,txn_500k.csv,8,2g,2,8,0.8,4.794,2026-03-14 15:56:02
join,txn_500k.csv,8,2g,2,32,0.6,5.167,2026-03-14 15:56:20
join,txn_500k.csv,8,2g,2,32,0.8,5.195,2026-03-14 15:56:38
join,txn_500k.csv,8,2g,4,8,0.6,4.945,2026-03-14 15:56:56
join,txn_500k.csv,8,2g,4,8,0.8,5.108,2026-03-14 15:57:14
join,txn_500k.csv,8,2g,4,32,0.6,5.07,2026-03-14 15:57:32
join,txn_500k.csv,8,2g,4,32,0.8,4.896,2026-03-14 15:57:50
join,txn_500k.csv,8,3g,2,8,0.6,4.864,2026-03-14 15:58:08
join,txn_500k.csv,8,3g,2,8,0.8,5.058,2026-03-14 15:58:26
join,txn_500k.csv,8,3g,2,32,0.6,5.333,2026-03-14 15:58:44
join,txn_500k.csv,8,3g,2,32,0.8,5.613,2026-03-14 15:59:02
join,txn_500k.csv,8,3g,4,8,0.6,5.43,2026-03-14 15:59:20
join,txn_500k.csv,8,3g,4,8,0.8,5.117,2026-03-14 15:59:39
join,txn_500k.csv,8,3g,4,32,0.6,5.222,2026-03-14 15:59:57
join,txn_500k.csv,8,3g,4,32,0.8,5.285,2026-03-14 16:00:15
join,txn_500k.csv,16,2g,2,8,0.6,5.458,2026-03-14 16:00:33
join,txn_500k.csv,16,2g,2,8,0.8,5.123,2026-03-14 16:00:51
join,txn_500k.csv,16,2g,2,32,0.6,5.139,2026-03-14 16:01:09
join,txn_500k.csv,16,2g,2,32,0.8,5.672,2026-03-14 16:01:27
join,txn_500k.csv,16,2g,4,8,0.6,5.455,2026-03-14 16:01:46
join,txn_500k.csv,16,2g,4,8,0.8,5.0,2026-03-14 16:02:04
join,txn_500k.csv,16,2g,4,32,0.6,5.816,2026-03-14 16:02:23
join,txn_500k.csv,16,2g,4,32,0.8,5.424,2026-03-14 16:02:41
join,txn_500k.csv,16,3g,2,8,0.6,5.092,2026-03-14 16:02:59
join,txn_500k.csv,16,3g,2,8,0.8,5.206,2026-03-14 16:03:17
join,txn_500k.csv,16,3g,2,32,0.6,5.771,2026-03-14 16:03:36
join,txn_500k.csv,16,3g,2,32,0.8,5.723,2026-03-14 16:03:54
join,txn_500k.csv,16,3g,4,8,0.6,5.154,2026-03-14 16:04:12
join,txn_500k.csv,16,3g,4,8,0.8,5.171,2026-03-14 16:04:30
join,txn_500k.csv,16,3g,4,32,0.6,5.834,2026-03-14 16:04:48
join,txn_500k.csv,16,3g,4,32,0.8,5.738,2026-03-14 16:05:07
join,txn_500k.csv,32,2g,2,8,0.6,5.049,2026-03-14 16:05:25
join,txn_500k.csv,32,2g,2,8,0.8,5.18,2026-03-14 16:05:42
join,txn_500k.csv,32,2g,2,32,0.6,5.543,2026-03-14 16:06:01
join,txn_500k.csv,32,2g,2,32,0.8,5.854,2026-03-14 16:06:20
join,txn_500k.csv,32,2g,4,8,0.6,5.436,2026-03-14 16:06:38
join,txn_500k.csv,32,2g,4,8,0.8,4.969,2026-03-14 16:06:56
join,txn_500k.csv,32,2g,4,32,0.6,5.631,2026-03-14 16:07:14
join,txn_500k.csv,32,2g,4,32,0.8,5.437,2026-03-14 16:07:32
join,txn_500k.csv,32,3g,2,8,0.6,5.677,2026-03-14 16:07:51
join,txn_500k.csv,32,3g,2,8,0.8,5.282,2026-03-14 16:08:09
join,txn_500k.csv,32,3g,2,32,0.6,5.87,2026-03-14 16:08:28
join,txn_500k.csv,32,3g,2,32,0.8,5.788,2026-03-14 16:08:47
join,txn_500k.csv,32,3g,4,8,0.6,5.054,2026-03-14 16:09:05
join,txn_500k.csv,32,3g,4,8,0.8,5.243,2026-03-14 16:09:23
join,txn_500k.csv,32,3g,4,32,0.6,6.093,2026-03-14 16:09:42
join,txn_500k.csv,32,3g,4,32,0.8,6.037,2026-03-14 16:10:01
join,txn_500k.csv,64,2g,2,8,0.6,5.949,2026-03-14 16:10:19
join,txn_500k.csv,64,2g,2,8,0.8,5.541,2026-03-14 16:10:38
join,txn_500k.csv,64,2g,2,32,0.6,6.259,2026-03-14 16:10:57
join,txn_500k.csv,64,2g,2,32,0.8,6.211,2026-03-14 16:11:15
join,txn_500k.csv,64,2g,4,8,0.6,5.449,2026-03-14 16:11:33
join,txn_500k.csv,64,2g,4,8,0.8,6.245,2026-03-14 16:11:52
join,txn_500k.csv,64,2g,4,32,0.6,6.306,2026-03-14 16:12:12
join,txn_500k.csv,64,2g,4,32,0.8,6.184,2026-03-14 16:12:31
join,txn_500k.csv,64,3g,2,8,0.6,5.808,2026-03-14 16:12:49
join,txn_500k.csv,64,3g,2,8,0.8,5.64,2026-03-14 16:13:08
join,txn_500k.csv,64,3g,2,32,0.6,5.98,2026-03-14 16:13:28
join,txn_500k.csv,64,3g,2,32,0.8,6.151,2026-03-14 16:13:47
join,txn_500k.csv,64,3g,4,8,0.6,5.817,2026-03-14 16:14:06
join,txn_500k.csv,64,3g,4,8,0.8,5.551,2026-03-14 16:14:25
join,txn_500k.csv,64,3g,4,32,0.6,6.187,2026-03-14 16:14:44
join,txn_500k.csv,64,3g,4,32,0.8,6.566,2026-03-14 16:15:03
join,txn_1m.csv,4,2g,2,8,0.6,5.347,2026-03-14 16:15:22
join,txn_1m.csv,4,2g,2,8,0.8,5.64,2026-03-14 16:15:40
join,txn_1m.csv,4,2g,2,32,0.6,5.41,2026-03-14 16:15:59
join,txn_1m.csv,4,2g,2,32,0.8,5.436,2026-03-14 16:16:18
join,txn_1m.csv,4,2g,4,8,0.6,5.504,2026-03-14 16:16:37
join,txn_1m.csv,4,2g,4,8,0.8,5.424,2026-03-14 16:16:55
join,txn_1m.csv,4,2g,4,32,0.6,5.319,2026-03-14 16:17:14
join,txn_1m.csv,4,2g,4,32,0.8,5.586,2026-03-14 16:17:34
join,txn_1m.csv,4,3g,2,8,0.6,5.156,2026-03-14 16:17:52
join,txn_1m.csv,4,3g,2,8,0.8,5.443,2026-03-14 16:18:11
join,txn_1m.csv,4,3g,2,32,0.6,5.613,2026-03-14 16:18:30
join,txn_1m.csv,4,3g,2,32,0.8,5.247,2026-03-14 16:18:48
join,txn_1m.csv,4,3g,4,8,0.6,5.179,2026-03-14 16:19:07
join,txn_1m.csv,4,3g,4,8,0.8,5.416,2026-03-14 16:19:25
join,txn_1m.csv,4,3g,4,32,0.6,5.335,2026-03-14 16:19:44
join,txn_1m.csv,4,3g,4,32,0.8,5.519,2026-03-14 16:20:03
join,txn_1m.csv,8,2g,2,8,0.6,6.002,2026-03-14 16:20:22
join,txn_1m.csv,8,2g,2,8,0.8,5.672,2026-03-14 16:20:41
join,txn_1m.csv,8,2g,2,32,0.6,6.13,2026-03-14 16:21:02
join,txn_1m.csv,8,2g,2,32,0.8,5.862,2026-03-14 16:21:22
join,txn_1m.csv,8,2g,4,8,0.6,6.249,2026-03-14 16:21:43
join,txn_1m.csv,8,2g,4,8,0.8,5.521,2026-03-14 16:22:02
join,txn_1m.csv,8,2g,4,32,0.6,5.88,2026-03-14 16:22:22
join,txn_1m.csv,8,2g,4,32,0.8,6.097,2026-03-14 16:22:41
join,txn_1m.csv,8,3g,2,8,0.6,5.39,2026-03-14 16:22:59
join,txn_1m.csv,8,3g,2,8,0.8,5.98,2026-03-14 16:23:17
join,txn_1m.csv,8,3g,2,32,0.6,5.71,2026-03-14 16:23:36
join,txn_1m.csv,8,3g,2,32,0.8,5.653,2026-03-14 16:23:56
join,txn_1m.csv,8,3g,4,8,0.6,5.462,2026-03-14 16:24:14
join,txn_1m.csv,8,3g,4,8,0.8,5.547,2026-03-14 16:24:32
join,txn_1m.csv,8,3g,4,32,0.6,5.537,2026-03-14 16:24:51
join,txn_1m.csv,8,3g,4,32,0.8,5.72,2026-03-14 16:25:10
join,txn_1m.csv,16,2g,2,8,0.6,5.655,2026-03-14 16:25:29
join,txn_1m.csv,16,2g,2,8,0.8,5.575,2026-03-14 16:25:47
join,txn_1m.csv,16,2g,2,32,0.6,6.063,2026-03-14 16:26:07
join,txn_1m.csv,16,2g,2,32,0.8,6.132,2026-03-14 16:26:27
join,txn_1m.csv,16,2g,4,8,0.6,5.78,2026-03-14 16:26:45
join,txn_1m.csv,16,2g,4,8,0.8,5.903,2026-03-14 16:27:05
join,txn_1m.csv,16,2g,4,32,0.6,6.358,2026-03-14 16:27:24
join,txn_1m.csv,16,2g,4,32,0.8,6.399,2026-03-14 16:27:44
join,txn_1m.csv,16,3g,2,8,0.6,6.171,2026-03-14 16:28:03
join,txn_1m.csv,16,3g,2,8,0.8,5.907,2026-03-14 16:28:23
join,txn_1m.csv,16,3g,2,32,0.6,6.156,2026-03-14 16:28:42
join,txn_1m.csv,16,3g,2,32,0.8,5.95,2026-03-14 16:29:11
join,txn_1m.csv,16,3g,4,8,0.6,5.899,2026-03-14 16:29:27
join,txn_1m.csv,16,3g,4,8,0.8,5.776,2026-03-14 16:29:46
join,txn_1m.csv,16,3g,4,32,0.6,6.277,2026-03-14 16:30:06
join,txn_1m.csv,16,3g,4,32,0.8,6.19,2026-03-14 16:30:26
join,txn_1m.csv,32,2g,2,8,0.6,6.278,2026-03-14 16:30:45
join,txn_1m.csv,32,2g,2,8,0.8,5.827,2026-03-14 16:31:04
join,txn_1m.csv,32,2g,2,32,0.6,6.524,2026-03-14 16:31:24
join,txn_1m.csv,32,2g,2,32,0.8,6.848,2026-03-14 16:31:44
join,txn_1m.csv,32,2g,4,8,0.6,5.945,2026-03-14 16:32:02
join,txn_1m.csv,32,2g,4,8,0.8,6.509,2026-03-14 16:32:22
join,txn_1m.csv,32,2g,4,32,0.6,6.978,2026-03-14 16:32:42
join,txn_1m.csv,32,2g,4,32,0.8,6.655,2026-03-14 16:33:01
join,txn_1m.csv,32,3g,2,8,0.6,6.418,2026-03-14 16:33:21
join,txn_1m.csv,32,3g,2,8,0.8,6.513,2026-03-14 16:33:40
join,txn_1m.csv,32,3g,2,32,0.6,6.652,2026-03-14 16:34:00
join,txn_1m.csv,32,3g,2,32,0.8,6.651,2026-03-14 16:34:20
join,txn_1m.csv,32,3g,4,8,0.6,5.967,2026-03-14 16:34:40
join,txn_1m.csv,32,3g,4,8,0.8,6.054,2026-03-14 16:34:59
join,txn_1m.csv,32,3g,4,32,0.6,6.359,2026-03-14 16:35:19
join,txn_1m.csv,32,3g,4,32,0.8,6.32,2026-03-14 16:35:39
join,txn_1m.csv,64,2g,2,8,0.6,6.271,2026-03-14 16:35:58
join,txn_1m.csv,64,2g,2,8,0.8,6.444,2026-03-14 16:36:17
join,txn_1m.csv,64,2g,2,32,0.6,7.858,2026-03-14 16:36:39
join,txn_1m.csv,64,2g,2,32,0.8,7.622,2026-03-14 16:37:00
join,txn_1m.csv,64,2g,4,8,0.6,6.577,2026-03-14 16:37:20
join,txn_1m.csv,64,2g,4,8,0.8,6.606,2026-03-14 16:37:40
join,txn_1m.csv,64,2g,4,32,0.6,7.461,2026-03-14 16:38:00
join,txn_1m.csv,64,2g,4,32,0.8,7.794,2026-03-14 16:38:21
join,txn_1m.csv,64,3g,2,8,0.6,6.425,2026-03-14 16:38:41
